cohort_month,period_number,active_users,cohort_size,retention_pct
2023-10-01,1,1,371,0.27
2023-10-01,2,1,371,0.27
2023-10-01,3,2,371,0.54
2023-10-01,4,4,371,1.08
2023-10-01,5,3,371,0.81
2023-10-01,6,1,371,0.27
2023-10-01,8,1,371,0.27
2023-10-01,9,1,371,0.27
2023-10-01,10,5,371,1.35
2023-10-01,11,3,371,0.81
2023-10-01,12,1,371,0.27
2023-10-01,13,1,371,0.27
2023-10-01,14,1,371,0.27
2023-11-01,0,401,401,100
2023-11-01,1,3,401,0.75
2023-11-01,2,2,401,0.5
2023-11-01,3,6,401,1.5
2023-11-01,4,1,401,0.25
2023-11-01,5,2,401,0.5
2023-11-01,6,2,401,0.5
2023-11-01,8,3,401,0.75
2023-11-01,9,2,401,0.5
2023-11-01,12,2,401,0.5
2023-11-01,13,1,401,0.25
2023-12-01,0,396,396,100
2023-12-01,1,2,396,0.51
2023-12-01,2,2,396,0.51
2023-12-01,3,3,396,0.76
2023-12-01,4,2,396,0.51
2023-12-01,5,3,396,0.76
2023-12-01,6,2,396,0.51
2023-12-01,7,1,396,0.25
2023-12-01,8,1,396,0.25
2023-12-01,9,1,396,0.25
2023-12-01,10,1,396,0.25
2023-12-01,11,2,396,0.51
2023-12-01,12,2,396,0.51
2024-01-01,0,392,392,100
2024-01-01,1,3,392,0.77
2024-01-01,2,3,392,0.77
2024-01-01,3,5,392,1.28
2024-01-01,4,3,392,0.77
2024-01-01,5,3,392,0.77
2024-01-01,6,2,392,0.51
2024-01-01,8,1,392,0.26
2024-01-01,9,2,392,0.51
2024-01-01,10,1,392,0.26
2024-01-01,11,4,392,1.02
2024-02-01,0,400,400,100
2024-02-01,1,4,400,1
2024-02-01,2,2,400,0.5
2024-02-01,3,3,400,0.75
2024-02-01,6,1,400,0.25
2024-02-01,8,4,400,1
2024-02-01,9,2,400,0.5
2024-02-01,10,2,400,0.5
2024-03-01,0,399,399,100
2024-03-01,1,1,399,0.25
2024-03-01,2,4,399,1
2024-03-01,3,3,399,0.75
2024-03-01,5,2,399,0.5
2024-03-01,6,3,399,0.75
2024-03-01,7,3,399,0.75
2024-03-01,8,4,399,1
2024-03-01,9,5,399,1.25
2024-04-01,0,410,410,100
2024-04-01,1,1,410,0.24
2024-04-01,2,7,410,1.71
2024-04-01,3,4,410,0.98
2024-04-01,4,4,410,0.98
2024-04-01,5,1,410,0.24
2024-04-01,6,3,410,0.73
2024-04-01,7,6,410,1.46
2024-04-01,8,1,410,0.24
2024-05-01,0,448,448,100
2024-05-01,1,1,448,0.22
2024-05-01,2,4,448,0.89
2024-05-01,3,2,448,0.45
2024-05-01,4,2,448,0.45
2024-05-01,5,1,448,0.22
2024-05-01,6,3,448,0.67
2024-05-01,7,2,448,0.45
2024-06-01,0,435,435,100
2024-06-01,1,2,435,0.46
2024-06-01,2,3,435,0.69
2024-06-01,3,4,435,0.92
2024-06-01,4,2,435,0.46
2024-06-01,5,6,435,1.38
2024-06-01,6,6,435,1.38
2024-07-01,0,464,464,100
2024-07-01,1,6,464,1.29
2024-07-01,2,7,464,1.51
2024-07-01,3,5,464,1.08
2024-07-01,4,1,464,0.22
2024-07-01,5,2,464,0.43
2024-08-01,0,501,501,100
2024-08-01,1,4,501,0.8
2024-08-01,2,3,501,0.6
2024-08-01,3,3,501,0.6
2024-08-01,4,7,501,1.4
2024-09-01,0,516,516,100
2024-09-01,1,3,516,0.58
2024-09-01,2,5,516,0.97
2024-10-01,0,560,560,100
2024-10-01,1,2,560,0.36
2024-10-01,2,3,560,0.54
2024-11-01,0,513,513,100
2024-11-01,1,2,513,0.39
2024-12-01,0,556,556,100
