cohort_month,period_number,period_revenue,baseline_revenue,revenue_retention_pct
2022-12-01,7,4.99,24389.77,0.02
2022-12-01,8,76.77,24389.77,0.31
2022-12-01,9,287.99,24389.77,1.18
2022-12-01,10,281.43,24389.77,1.15
2022-12-01,11,13.71,24389.77,0.06
2022-12-01,13,150.99,24389.77,0.62
2022-12-01,14,169.4,24389.77,0.69
2022-12-01,15,98,24389.77,0.4
2022-12-01,16,95.53,24389.77,0.39
2022-12-01,17,25,24389.77,0.1
2022-12-01,18,111,24389.77,0.46
2022-12-01,19,16,24389.77,0.07
2022-12-01,20,440,24389.77,1.8
2022-12-01,22,529.34,24389.77,2.17
2022-12-01,23,130.98,24389.77,0.54
2022-12-01,24,115.88,24389.77,0.48
2023-01-01,0,22958.97,22958.97,100
2023-01-01,1,715.26,22958.97,3.12
2023-01-01,3,184.99,22958.97,0.81
2023-01-01,6,24.99,22958.97,0.11
2023-01-01,7,28,22958.97,0.12
2023-01-01,8,427.18,22958.97,1.86
2023-01-01,9,45.93,22958.97,0.2
2023-01-01,11,59.5,22958.97,0.26
2023-01-01,13,90.22,22958.97,0.39
2023-01-01,14,332.41,22958.97,1.45
2023-01-01,16,171.49,22958.97,0.75
2023-01-01,17,41.93,22958.97,0.18
2023-01-01,18,55,22958.97,0.24
2023-01-01,21,180.98,22958.97,0.79
2023-01-01,22,209.57,22958.97,0.91
2023-02-01,0,21273.74,21273.74,100
2023-02-01,1,895.26,21273.74,4.21
2023-02-01,4,57,21273.74,0.27
2023-02-01,6,39.99,21273.74,0.19
2023-02-01,7,52.95,21273.74,0.25
2023-02-01,8,126.97,21273.74,0.6
2023-02-01,10,12.98,21273.74,0.06
2023-02-01,11,54.5,21273.74,0.26
2023-02-01,12,28.6,21273.74,0.13
2023-02-01,13,12.95,21273.74,0.06
2023-02-01,16,109,21273.74,0.51
2023-02-01,17,89,21273.74,0.42
2023-02-01,18,242.47,21273.74,1.14
2023-02-01,19,159.09,21273.74,0.75
2023-02-01,20,106.95,21273.74,0.5
2023-02-01,22,153.31,21273.74,0.72
2023-03-01,0,25394.39,25394.39,100
2023-03-01,1,1498.06,25394.39,5.9
2023-03-01,2,442.07,25394.39,1.74
2023-03-01,3,248,25394.39,0.98
2023-03-01,4,109.1,25394.39,0.43
2023-03-01,5,117.99,25394.39,0.46
2023-03-01,6,42.95,25394.39,0.17
2023-03-01,7,26.99,25394.39,0.11
2023-03-01,8,89.95,25394.39,0.35
2023-03-01,9,201.95,25394.39,0.8
2023-03-01,10,294.92,25394.39,1.16
2023-03-01,11,35,25394.39,0.14
2023-03-01,12,78.99,25394.39,0.31
2023-03-01,13,124.85,25394.39,0.49
2023-03-01,14,191.45,25394.39,0.75
2023-03-01,15,29.58,25394.39,0.12
2023-03-01,16,188.51,25394.39,0.74
2023-03-01,18,168,25394.39,0.66
2023-03-01,19,25,25394.39,0.1
2023-03-01,20,363.92,25394.39,1.43
2023-03-01,21,12,25394.39,0.05
2023-04-01,0,22028.22,22028.22,100
2023-04-01,1,1428.08,22028.22,6.48
2023-04-01,2,10.72,22028.22,0.05
2023-04-01,3,20,22028.22,0.09
2023-04-01,4,396.13,22028.22,1.8
2023-04-01,5,78.91,22028.22,0.36
2023-04-01,6,92.95,22028.22,0.42
2023-04-01,7,32,22028.22,0.15
2023-04-01,10,6.99,22028.22,0.03
2023-04-01,11,188.92,22028.22,0.86
2023-04-01,12,84,22028.22,0.38
2023-04-01,13,119,22028.22,0.54
2023-04-01,15,119.38,22028.22,0.54
2023-04-01,17,247.44,22028.22,1.12
2023-04-01,18,106.97,22028.22,0.49
2023-04-01,19,68.99,22028.22,0.31
2023-04-01,20,65.44,22028.22,0.3
2023-05-01,0,27983.41,27983.41,100
2023-05-01,1,1745.87,27983.41,6.24
2023-05-01,2,308.99,27983.41,1.1
2023-05-01,3,451.98,27983.41,1.62
2023-05-01,4,352.99,27983.41,1.26
2023-05-01,6,119.26,27983.41,0.43
2023-05-01,8,461.95,27983.41,1.65
2023-05-01,9,15.28,27983.41,0.05
2023-05-01,10,25,27983.41,0.09
2023-05-01,11,297.45,27983.41,1.06
2023-05-01,13,119.59,27983.41,0.43
2023-05-01,14,547.21,27983.41,1.96
2023-05-01,15,282.95,27983.41,1.01
2023-05-01,16,135.62,27983.41,0.48
2023-05-01,18,53.95,27983.41,0.19
2023-05-01,19,228.95,27983.41,0.82
2023-06-01,0,25770.42,25770.42,100
2023-06-01,1,887.67,25770.42,3.44
2023-06-01,2,125.68,25770.42,0.49
2023-06-01,3,84.99,25770.42,0.33
2023-06-01,4,39.99,25770.42,0.16
2023-06-01,5,144.9,25770.42,0.56
2023-06-01,6,57,25770.42,0.22
2023-06-01,8,19.99,25770.42,0.08
2023-06-01,10,208.32,25770.42,0.81
2023-06-01,11,171.83,25770.42,0.67
2023-06-01,13,92.48,25770.42,0.36
2023-06-01,15,213.8,25770.42,0.83
2023-06-01,17,397.94,25770.42,1.54
2023-06-01,18,39.99,25770.42,0.16
2023-07-01,0,29077.73,29077.73,100
2023-07-01,1,809.84,29077.73,2.79
2023-07-01,2,55,29077.73,0.19
2023-07-01,3,79.5,29077.73,0.27
2023-07-01,4,129.98,29077.73,0.45
2023-07-01,5,431.17,29077.73,1.48
2023-07-01,6,309.49,29077.73,1.06
2023-07-01,7,20.29,29077.73,0.07
2023-07-01,8,30,29077.73,0.1
2023-07-01,9,262.38,29077.73,0.9
2023-07-01,11,50.07,29077.73,0.17
2023-07-01,12,157.93,29077.73,0.54
2023-07-01,13,15.9,29077.73,0.05
2023-07-01,14,391.34,29077.73,1.35
2023-07-01,17,91.95,29077.73,0.32
2023-08-01,0,26873.3,26873.3,100
2023-08-01,1,1520.08,26873.3,5.66
2023-08-01,2,120.34,26873.3,0.45
2023-08-01,3,6.95,26873.3,0.03
2023-08-01,4,52,26873.3,0.19
2023-08-01,5,228.48,26873.3,0.85
2023-08-01,6,32.98,26873.3,0.12
2023-08-01,10,642.94,26873.3,2.39
2023-08-01,11,159.83,26873.3,0.59
2023-08-01,12,247.14,26873.3,0.92
2023-08-01,13,19.99,26873.3,0.07
2023-08-01,15,45,26873.3,0.17
2023-08-01,16,217.57,26873.3,0.81
2023-09-01,0,27009.75,27009.75,100
2023-09-01,1,451.99,27009.75,1.67
2023-09-01,2,264.61,27009.75,0.98
2023-09-01,3,155.85,27009.75,0.58
2023-09-01,5,50.49,27009.75,0.19
2023-09-01,6,95,27009.75,0.35
2023-09-01,8,250.24,27009.75,0.93
2023-09-01,9,61.98,27009.75,0.23
2023-09-01,10,24.78,27009.75,0.09
2023-09-01,12,310.89,27009.75,1.15
2023-09-01,13,42,27009.75,0.16
2023-09-01,14,381.86,27009.75,1.41
2023-09-01,15,64.46,27009.75,0.24
2023-10-01,0,29327.04,29327.04,100
2023-10-01,1,1055.06,29327.04,3.6
2023-10-01,2,686.45,29327.04,2.34
2023-10-01,3,225.5,29327.04,0.77
2023-10-01,4,74.34,29327.04,0.25
2023-10-01,5,86.44,29327.04,0.29
2023-10-01,6,9,29327.04,0.03
2023-10-01,7,125,29327.04,0.43
2023-10-01,8,87.96,29327.04,0.3
2023-10-01,9,446.31,29327.04,1.52
2023-10-01,10,6,29327.04,0.02
2023-10-01,12,717.47,29327.04,2.45
2023-10-01,14,50.65,29327.04,0.17
2023-11-01,0,28977.94,28977.94,100
2023-11-01,1,1214.3,28977.94,4.19
2023-11-01,2,110.99,28977.94,0.38
2023-11-01,3,693.4,28977.94,2.39
2023-11-01,4,16.95,28977.94,0.06
2023-11-01,5,400.34,28977.94,1.38
2023-11-01,7,314.95,28977.94,1.09
2023-11-01,8,129.99,28977.94,0.45
2023-11-01,9,259,28977.94,0.89
2023-11-01,10,18.7,28977.94,0.06
2023-11-01,11,35,28977.94,0.12
2023-11-01,12,194.95,28977.94,0.67
2023-11-01,13,82.91,28977.94,0.29
2023-12-01,0,34793.75,34793.75,100
2023-12-01,1,1366.51,34793.75,3.93
2023-12-01,2,301.27,34793.75,0.87
2023-12-01,3,252.89,34793.75,0.73
2023-12-01,4,210.39,34793.75,0.6
2023-12-01,5,255.5,34793.75,0.73
2023-12-01,7,160.73,34793.75,0.46
2023-12-01,8,534.4,34793.75,1.54
2023-12-01,9,112.68,34793.75,0.32
2023-12-01,10,184.98,34793.75,0.53
2023-12-01,11,89,34793.75,0.26
2023-12-01,12,117.95,34793.75,0.34
2024-01-01,0,34208.89,34208.89,100
2024-01-01,1,1978.34,34208.89,5.78
2024-01-01,2,42.31,34208.89,0.12
2024-01-01,3,347.34,34208.89,1.02
2024-01-01,5,207,34208.89,0.61
2024-01-01,6,60.77,34208.89,0.18
2024-01-01,7,953.37,34208.89,2.79
2024-01-01,8,89.79,34208.89,0.26
2024-01-01,11,119.98,34208.89,0.35
2024-02-01,0,30563.55,30563.55,100
2024-02-01,1,1060.43,30563.55,3.47
2024-02-01,3,11.95,30563.55,0.04
2024-02-01,4,123.6,30563.55,0.4
2024-02-01,5,324.71,30563.55,1.06
2024-02-01,6,208.25,30563.55,0.68
2024-02-01,7,353.15,30563.55,1.16
2024-02-01,9,21.99,30563.55,0.07
2024-02-01,10,100.5,30563.55,0.33
2024-03-01,0,34697.96,34697.96,100
2024-03-01,1,1330.4,34697.96,3.83
2024-03-01,2,87.4,34697.96,0.25
2024-03-01,3,399.68,34697.96,1.15
2024-03-01,4,88.98,34697.96,0.26
2024-03-01,5,90.92,34697.96,0.26
2024-03-01,6,219.46,34697.96,0.63
2024-03-01,7,19.98,34697.96,0.06
2024-03-01,8,169.13,34697.96,0.49
2024-03-01,9,204.94,34697.96,0.59
2024-03-01,10,197,34697.96,0.57
2024-04-01,0,34737.65,34737.65,100
2024-04-01,1,1507.16,34737.65,4.34
2024-04-01,2,123.26,34737.65,0.35
2024-04-01,3,316.24,34737.65,0.91
2024-04-01,4,93.39,34737.65,0.27
2024-04-01,6,104.75,34737.65,0.3
2024-04-01,7,198,34737.65,0.57
2024-04-01,8,217.29,34737.65,0.63
2024-04-01,9,306,34737.65,0.88
2024-05-01,0,34337.78,34337.78,100
2024-05-01,1,1815.44,34337.78,5.29
2024-05-01,2,96.95,34337.78,0.28
2024-05-01,3,158.81,34337.78,0.46
2024-05-01,4,67.99,34337.78,0.2
2024-05-01,5,139,34337.78,0.4
2024-05-01,6,216.88,34337.78,0.63
2024-05-01,7,80.94,34337.78,0.24
2024-06-01,0,36435.31,36435.31,100
2024-06-01,1,1576.62,36435.31,4.33
2024-06-01,2,235.4,36435.31,0.65
2024-06-01,4,412.8,36435.31,1.13
2024-06-01,5,164.93,36435.31,0.45
2024-06-01,6,381,36435.31,1.05
2024-07-01,0,35664.68,35664.68,100
2024-07-01,1,1581.25,35664.68,4.43
2024-07-01,2,790.54,35664.68,2.22
2024-07-01,3,222.08,35664.68,0.62
2024-07-01,4,147.63,35664.68,0.41
2024-07-01,5,279.9,35664.68,0.78
2024-08-01,0,40337.74,40337.74,100
2024-08-01,1,1437.57,40337.74,3.56
2024-08-01,2,382.45,40337.74,0.95
2024-08-01,3,124.82,40337.74,0.31
2024-08-01,4,219.28,40337.74,0.54
2024-09-01,0,38513.55,38513.55,100
2024-09-01,1,1561.97,38513.55,4.06
2024-09-01,2,398.49,38513.55,1.03
2024-09-01,3,118.99,38513.55,0.31
2024-10-01,0,39920.36,39920.36,100
2024-10-01,1,678.75,39920.36,1.7
2024-10-01,2,281.19,39920.36,0.7
2024-11-01,0,46306.63,46306.63,100
2024-11-01,1,2695.49,46306.63,5.82
2024-12-01,0,47454,47454,100
2024-12-01,1,1001.38,47454,2.11
