soc_code,occupation_title,employment_2024,employment_2034,employment_change_numeric,employment_change_percent,annual_openings_avg,percent_self_employed,typical_education,work_experience,typical_training,annual_median,annual_mean,annual_pct10,annual_pct25,annual_pct75,annual_pct90,hourly_median,hourly_mean,hourly_pct10,hourly_pct25,hourly_pct75,hourly_pct90,total_employment_oews,oews_occupation_title
25-1052,"Chemistry teachers, postsecondary",25.4,26.0,0.6,2.2,1.9,0.2,Doctoral or professional degree,,,86220.0,103030.0,52870.0,64980.0,125920.0,171600.0,,,,,,,20390.0,"Chemistry Teachers, Postsecondary"
25-1053,"Environmental science teachers, postsecondary",9.0,9.3,0.3,2.9,0.7,,Doctoral or professional degree,,,87710.0,100360.0,50670.0,64360.0,124680.0,164290.0,,,,,,,7130.0,"Environmental Science Teachers, Postsecondary"
25-1054,"Physics teachers, postsecondary",17.1,17.5,0.4,2.5,1.3,,Doctoral or professional degree,,,97360.0,105460.0,54880.0,66730.0,130150.0,169740.0,,,,,,,13590.0,"Physics Teachers, Postsecondary"
25-1061,"Anthropology and archeology teachers, postsecondary",6.5,6.7,0.2,2.7,0.5,,Doctoral or professional degree,,,95770.0,102530.0,51380.0,67410.0,122870.0,169090.0,,,,,,,5260.0,"Anthropology and Archeology Teachers, Postsecondary"
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",14.5,14.8,0.3,2.4,1.1,,Doctoral or professional degree,,,84290.0,97350.0,51130.0,64320.0,107810.0,164650.0,,,,,,,11430.0,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-1063,"Economics teachers, postsecondary",15.8,16.1,0.3,2.1,1.2,,Doctoral or professional degree,,,119980.0,133140.0,57550.0,80850.0,166600.0,217160.0,,,,,,,12420.0,"Economics Teachers, Postsecondary"
25-1064,"Geography teachers, postsecondary",4.0,4.2,0.1,3.3,0.3,,Doctoral or professional degree,,,86730.0,99020.0,49990.0,66400.0,120220.0,164350.0,,,,,,,3290.0,"Geography Teachers, Postsecondary"
25-1065,"Political science teachers, postsecondary",21.8,22.2,0.4,2.0,1.6,0.3,Doctoral or professional degree,,,94680.0,105160.0,50490.0,65330.0,127480.0,173380.0,,,,,,,17170.0,"Political Science Teachers, Postsecondary"
25-1066,"Psychology teachers, postsecondary",52.5,54.4,1.9,3.6,4.0,0.3,Doctoral or professional degree,,,80330.0,93530.0,47870.0,62290.0,106640.0,158900.0,,,,,,,41610.0,"Psychology Teachers, Postsecondary"
25-1067,"Sociology teachers, postsecondary",15.4,15.7,0.3,2.1,1.1,,Doctoral or professional degree,,,82540.0,97270.0,49330.0,64130.0,113000.0,167240.0,,,,,,,12380.0,"Sociology Teachers, Postsecondary"
25-1069,"Social sciences teachers, postsecondary, all other",20.7,21.1,0.4,1.7,1.5,,Doctoral or professional degree,,,75040.0,92950.0,45280.0,59550.0,105390.0,176350.0,,,,,,,17540.0,"Social Sciences Teachers, Postsecondary, All Other"
25-1071,"Health specialties teachers, postsecondary",289.6,339.7,50.1,17.3,27.4,0.3,Doctoral or professional degree,Less than 5 years,,105620.0,137900.0,51760.0,74400.0,176090.0,,,,,,,,229720.0,"Health Specialties Teachers, Postsecondary"
25-1072,"Nursing instructors and teachers, postsecondary",91.6,106.9,15.3,16.8,8.6,0.4,Doctoral or professional degree,Less than 5 years,,79940.0,87090.0,47950.0,62210.0,102020.0,130040.0,,,,,,,74250.0,"Nursing Instructors and Teachers, Postsecondary"
25-1081,"Education teachers, postsecondary",74.9,76.5,1.6,2.1,5.6,0.3,Doctoral or professional degree,Less than 5 years,,72090.0,78500.0,38650.0,50630.0,96260.0,126450.0,,,,,,,59090.0,"Education Teachers, Postsecondary"
25-1082,"Library science teachers, postsecondary",5.1,5.3,0.2,3.0,0.4,,Doctoral or professional degree,,,78630.0,84320.0,53590.0,62130.0,97020.0,126200.0,,,,,,,4100.0,"Library Science Teachers, Postsecondary"
25-1111,"Criminal justice and law enforcement teachers, postsecondary",16.2,16.5,0.3,2.0,1.2,,Doctoral or professional degree,,,71470.0,84820.0,45640.0,56100.0,99730.0,143130.0,,,,,,,13560.0,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-1112,"Law teachers, postsecondary",29.5,30.2,0.6,2.2,2.2,0.3,Doctoral or professional degree,Less than 5 years,,126650.0,139950.0,58330.0,84540.0,173580.0,,,,,,,,22800.0,"Law Teachers, Postsecondary"
25-1113,"Social work teachers, postsecondary",17.1,17.5,0.4,2.3,1.3,,Doctoral or professional degree,,,76210.0,81880.0,45370.0,57080.0,98570.0,129280.0,,,,,,,13350.0,"Social Work Teachers, Postsecondary"
25-1121,"Art, drama, and music teachers, postsecondary",122.8,124.8,2.1,1.7,9.0,0.4,Master's degree,,,80190.0,102240.0,47040.0,60730.0,121600.0,194530.0,,,,,,,97890.0,"Art, Drama, and Music Teachers, Postsecondary"
25-1122,"Communications teachers, postsecondary",35.8,36.6,0.8,2.1,2.7,0.2,Doctoral or professional degree,,,77800.0,90340.0,47100.0,60060.0,103230.0,160210.0,,,,,,,29260.0,"Communications Teachers, Postsecondary"
25-1123,"English language and literature teachers, postsecondary",72.2,72.2,0.0,0.0,5.1,0.2,Doctoral or professional degree,,,78270.0,90400.0,47540.0,59780.0,103730.0,154800.0,,,,,,,59590.0,"English Language and Literature Teachers, Postsecondary"
25-1124,"Foreign language and literature teachers, postsecondary",26.4,26.4,0.0,-0.2,1.9,0.3,Doctoral or professional degree,,,77010.0,87670.0,47090.0,59790.0,101680.0,134960.0,,,,,,,21170.0,"Foreign Language and Literature Teachers, Postsecondary"
25-1125,"History teachers, postsecondary",24.6,24.6,-0.1,-0.2,1.7,0.2,Doctoral or professional degree,,,81500.0,93710.0,47730.0,62370.0,106770.0,158140.0,,,,,,,19860.0,"History Teachers, Postsecondary"
25-1126,"Philosophy and religion teachers, postsecondary",27.3,27.5,0.2,0.7,2.0,0.5,Doctoral or professional degree,,,78050.0,88210.0,47550.0,60980.0,101680.0,134910.0,,,,,,,20840.0,"Philosophy and Religion Teachers, Postsecondary"
25-1192,"Family and consumer sciences teachers, postsecondary",3.2,3.3,0.1,3.4,0.2,,Doctoral or professional degree,,,77280.0,84450.0,47580.0,56870.0,99530.0,133180.0,,,,,,,2630.0,"Family and Consumer Sciences Teachers, Postsecondary"
25-1193,"Recreation and fitness studies teachers, postsecondary",15.4,15.7,0.4,2.4,1.1,,Doctoral or professional degree,,,75890.0,87980.0,44150.0,57290.0,101420.0,158240.0,,,,,,,12680.0,"Recreation and Fitness Studies Teachers, Postsecondary"
25-1194,"Career/technical education teachers, postsecondary",122.2,123.0,0.8,0.7,8.8,0.4,Bachelor's degree,Less than 5 years,,61490.0,68710.0,38680.0,48030.0,80070.0,106580.0,29.56,33.03,18.59,23.09,38.5,51.24,111150.0,"Career/Technical Education Teachers, Postsecondary"
25-1199,"Postsecondary teachers, all other",183.4,186.8,3.4,1.8,13.5,0.3,Doctoral or professional degree,,,78490.0,94470.0,39720.0,55500.0,122510.0,172850.0,,,,,,,151530.0,"Postsecondary Teachers, All Other"
25-2011,"Preschool teachers, except special education",555.1,578.1,22.9,4.1,65.5,0.6,Associate's degree,,,37120.0,41450.0,28300.0,31250.0,46550.0,60070.0,17.85,19.93,13.61,15.03,22.38,28.88,445080.0,"Preschool Teachers, Except Special Education"
25-2012,"Kindergarten teachers, except special education",117.2,115.2,-1.9,-1.6,12.8,0.1,Bachelor's degree,,,61430.0,67020.0,45750.0,50290.0,77720.0,99360.0,,,,,,,114410.0,"Kindergarten Teachers, Except Special Education"
25-2021,"Elementary school teachers, except special education",1422.7,1394.8,-27.9,-2.0,91.0,0.6,Bachelor's degree,,,62340.0,69790.0,46440.0,50680.0,79410.0,102010.0,,,,,,,1393310.0,"Elementary School Teachers, Except Special Education"
25-2022,"Middle school teachers, except special and career/technical education",633.7,621.3,-12.4,-2.0,40.5,0.6,Bachelor's degree,,,62970.0,70040.0,47050.0,53540.0,79380.0,100980.0,,,,,,,620370.0,"Middle School Teachers, Except Special and Career/Technical Education"
25-2023,"Career/technical education teachers, middle school",14.0,13.8,-0.3,-2.0,0.9,,Bachelor's degree,Less than 5 years,,63620.0,68690.0,47090.0,55920.0,78270.0,98430.0,,,,,,,14200.0,"Career/Technical Education Teachers, Middle School"
25-2031,"Secondary school teachers, except special and career/technical education",1094.5,1076.7,-17.8,-1.6,66.2,0.0,Bachelor's degree,,,64580.0,73700.0,47330.0,57800.0,83010.0,104670.0,,,,,,,1072540.0,"Secondary School Teachers, Except Special and Career/Technical Education"
25-2032,"Career/technical education teachers, secondary school",103.4,101.5,-1.9,-1.8,6.2,,Bachelor's degree,Less than 5 years,,63910.0,70550.0,48840.0,58840.0,78650.0,98720.0,,,,,,,104450.0,"Career/Technical Education Teachers, Secondary School"
25-2051,"Special education teachers, preschool",29.3,29.7,0.4,1.4,2.1,1.8,Bachelor's degree,,,62190.0,72610.0,38740.0,49370.0,81330.0,132530.0,,,,,,,28200.0,"Special Education Teachers, Preschool"
25-2052,"Special education teachers, kindergarten and elementary school",230.2,226.1,-4.1,-1.8,15.4,0.3,Bachelor's degree,,,63000.0,70150.0,47590.0,57050.0,79320.0,100620.0,,,,,,,231570.0,"Special Education Teachers, Kindergarten and Elementary School"
25-2057,"Special education teachers, middle school",94.8,93.0,-1.8,-1.9,6.3,0.3,Bachelor's degree,,,64880.0,72310.0,48070.0,58590.0,81940.0,102730.0,,,,,,,95330.0,"Special Education Teachers, Middle School"
25-2058,"Special education teachers, secondary school",164.2,161.5,-2.6,-1.6,11.1,0.5,Bachelor's degree,,,69590.0,74610.0,47930.0,58180.0,87140.0,106050.0,,,,,,,162780.0,"Special Education Teachers, Secondary School"
25-2059,"Special education teachers, all other",41.0,41.5,0.4,1.1,2.9,1.6,Bachelor's degree,,,67430.0,74180.0,43220.0,53470.0,87890.0,109360.0,,,,,,,39350.0,"Special Education Teachers, All Other"
25-3011,"Adult basic education, adult secondary education, and english as a second language instructors",40.9,35.3,-5.6,-13.7,3.9,5.6,Bachelor's degree,,,59950.0,64660.0,39750.0,47950.0,76580.0,95750.0,28.82,31.09,19.11,23.05,36.82,46.04,36260.0,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-3021,Self-enrichment teachers,417.5,433.0,15.5,3.7,51.4,16.8,High school diploma or equivalent,Less than 5 years,,45590.0,53330.0,28980.0,35410.0,62180.0,90780.0,21.92,25.64,13.93,17.02,29.9,43.64,308520.0,Self-Enrichment Teachers
25-3031,"Substitute teachers, short-term",510.1,518.5,8.4,1.6,61.1,5.0,Bachelor's degree,,,38470.0,44930.0,26240.0,31310.0,51930.0,63460.0,18.5,21.6,12.62,15.05,24.97,30.51,481300.0,"Substitute Teachers, Short-Term"
25-3041,Tutors,215.5,216.8,1.3,0.6,37.1,13.7,"Some college, no degree",,,40090.0,47780.0,28430.0,33410.0,55380.0,78810.0,19.27,22.97,13.67,16.06,26.62,37.89,174660.0,Tutors
25-3099,"Teachers and instructors, all other",153.8,153.5,-0.2,-0.1,18.0,8.6,Bachelor's degree,,,64690.0,71610.0,33280.0,46700.0,93180.0,116690.0,,,,,,,125010.0,"Teachers and Instructors, All Other"
25-4011,Archivists,9.3,9.7,0.4,3.8,1.1,10.4,Master's degree,,,61570.0,67620.0,39330.0,47890.0,79850.0,104780.0,29.6,32.51,18.91,23.02,38.39,50.37,7050.0,Archivists
25-4012,Curators,15.1,16.2,1.1,7.0,1.8,13.1,Master's degree,,,61770.0,70060.0,37110.0,47270.0,81350.0,105520.0,29.7,33.68,17.84,22.73,39.11,50.73,12280.0,Curators
25-4013,Museum technicians and conservators,15.7,16.5,0.8,5.4,1.9,12.0,Bachelor's degree,,,47460.0,53630.0,30720.0,37460.0,62990.0,82790.0,22.82,25.78,14.77,18.01,30.29,39.8,13070.0,Museum Technicians and Conservators
25-4022,Librarians and media collections specialists,142.1,144.5,2.4,1.7,13.5,0.9,Master's degree,,,64320.0,69180.0,38920.0,50920.0,80640.0,100880.0,30.92,33.26,18.71,24.48,38.77,48.5,131830.0,Librarians and Media Collections Specialists
25-4031,Library technicians,78.6,73.2,-5.4,-6.8,13.0,,Postsecondary nondegree award,,,39970.0,43050.0,27890.0,33510.0,49740.0,60960.0,19.22,20.7,13.41,16.11,23.91,29.31,73770.0,Library Technicians
25-9021,Farm and home management educators,12.4,12.1,-0.3,-2.5,1.1,0.7,Master's degree,,,58120.0,60470.0,36780.0,46010.0,69110.0,85230.0,27.94,29.07,17.68,22.12,33.23,40.98,10260.0,Farm and Home Management Educators
25-9031,Instructional coordinators,232.6,235.5,2.9,1.3,21.9,3.3,Master's degree,5 years or more,,74720.0,77600.0,46560.0,59120.0,94780.0,115410.0,35.92,37.31,22.39,28.43,45.57,55.49,210850.0,Instructional Coordinators
25-9044,"Teaching assistants, postsecondary",193.6,199.6,6.0,3.1,24.6,0.1,Bachelor's degree,,,44930.0,47560.0,28020.0,32640.0,60410.0,73560.0,,,,,,,155010.0,"Teaching Assistants, Postsecondary"
25-9045,"Teaching assistants, except postsecondary",1422.8,1401.7,-21.1,-1.5,170.4,0.1,"Some college, no degree",,,35240.0,35960.0,23710.0,29120.0,40400.0,48140.0,,,,,,,1375300.0,"Teaching Assistants, Except Postsecondary"
25-9099,"Educational instruction and library workers, all other",132.0,134.0,2.0,1.5,12.5,2.4,Bachelor's degree,,,48400.0,55700.0,24160.0,33280.0,68800.0,95310.0,23.27,26.78,11.62,16.0,33.08,45.82,114640.0,"Educational Instruction and Library Workers, All Other"
27-1011,Art directors,135.0,140.7,5.7,4.2,12.3,61.9,Bachelor's degree,5 years or more,,111040.0,128100.0,61060.0,80130.0,160460.0,211410.0,53.38,61.59,29.35,38.53,77.14,101.64,50370.0,Art Directors
27-1012,Craft artists,11.6,11.9,0.2,2.1,1.0,62.6,No formal educational credential,,Long-term on-the-job training,38480.0,45340.0,22620.0,31350.0,52070.0,65850.0,18.5,21.8,10.88,15.07,25.04,31.66,4370.0,Craft Artists
27-1013,"Fine artists, including painters, sculptors, and illustrators",26.5,26.2,-0.3,-1.2,2.2,61.6,Bachelor's degree,,Long-term on-the-job training,60560.0,76450.0,26420.0,39740.0,89630.0,140660.0,29.12,36.76,12.7,19.11,43.09,67.62,10000.0,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1014,Special effects artists and animators,57.1,58.0,0.9,1.6,5.0,61.5,Bachelor's degree,,,99800.0,110110.0,57220.0,73030.0,135600.0,174630.0,47.98,52.94,27.51,35.11,65.19,83.96,21280.0,Special Effects Artists and Animators
27-1019,"Artists and related workers, all other",13.9,14.0,0.1,0.8,1.2,44.0,No formal educational credential,,Long-term on-the-job training,72760.0,79490.0,33720.0,44760.0,112420.0,133180.0,34.98,38.22,16.21,21.52,54.05,64.03,7370.0,"Artists and Related Workers, All Other"
27-1021,Commercial and industrial designers,30.6,31.6,1.0,3.2,2.5,2.0,Bachelor's degree,,,79450.0,88000.0,49390.0,62040.0,103170.0,134840.0,38.2,42.31,23.74,29.83,49.6,64.83,30250.0,Commercial and Industrial Designers
27-1022,Fashion designers,25.7,26.2,0.5,2.0,2.3,20.0,Bachelor's degree,,,80690.0,122430.0,35970.0,53730.0,107990.0,169620.0,38.79,58.86,17.29,25.83,51.92,81.55,20910.0,Fashion Designers
27-1023,Floral designers,43.8,41.2,-2.6,-5.9,5.1,10.7,High school diploma or equivalent,,Moderate-term on-the-job training,36120.0,37700.0,27260.0,30200.0,43420.0,48690.0,17.37,18.13,13.1,14.52,20.87,23.41,40160.0,Floral Designers
27-1024,Graphic designers,265.9,271.5,5.7,2.1,20.0,17.7,Bachelor's degree,,,61300.0,68610.0,37600.0,47200.0,79000.0,103030.0,29.47,32.98,18.08,22.69,37.98,49.53,214260.0,Graphic Designers
27-1025,Interior designers,87.1,89.9,2.8,3.2,7.8,21.2,Bachelor's degree,,,63490.0,71430.0,38480.0,49770.0,80830.0,106090.0,30.52,34.34,18.5,23.93,38.86,51.01,69580.0,Interior Designers
27-1026,Merchandise displayers and window trimmers,193.0,199.3,6.2,3.2,20.8,0.1,High school diploma or equivalent,,Short-term on-the-job training,37350.0,40540.0,30050.0,33580.0,44750.0,53800.0,17.96,19.49,14.45,16.15,21.52,25.86,192480.0,Merchandise Displayers and Window Trimmers
27-1027,Set and exhibit designers,31.3,32.0,0.7,2.3,2.5,63.5,Bachelor's degree,,,66280.0,78450.0,35990.0,48920.0,100020.0,129420.0,31.87,37.71,17.31,23.52,48.09,62.22,10850.0,Set and Exhibit Designers
27-1029,"Designers, all other",28.6,29.2,0.6,2.0,2.2,66.1,Bachelor's degree,,,66220.0,78000.0,36530.0,46850.0,95330.0,131950.0,31.84,37.5,17.56,22.52,45.83,63.44,9680.0,"Designers, All Other"
27-2011,Actors,57.0,57.1,0.2,0.3,6.3,27.9,"Some college, no degree",,Long-term on-the-job training,,,,,,,23.33,44.4,14.0,16.94,41.09,97.19,38800.0,Actors
27-2012,Producers and directors,167.0,175.2,8.3,4.9,12.8,8.2,Bachelor's degree,Less than 5 years,,83480.0,114280.0,43060.0,59810.0,131160.0,198530.0,40.13,54.94,20.7,28.75,63.06,95.45,145270.0,Producers and Directors
27-2021,Athletes and sports competitors,19.1,20.2,1.0,5.5,2.1,20.7,No formal educational credential,,Long-term on-the-job training,62360.0,259750.0,24960.0,36750.0,130770.0,,,,,,,,14370.0,Athletes and Sports Competitors
27-2022,Coaches and scouts,306.5,326.0,19.5,6.4,41.8,10.2,Bachelor's degree,,,45920.0,58910.0,27490.0,33960.0,61930.0,93980.0,,,,,,,250940.0,Coaches and Scouts
27-2023,"Umpires, referees, and other sports officials",19.3,20.4,1.1,5.7,4.6,18.2,High school diploma or equivalent,,Moderate-term on-the-job training,38820.0,52800.0,25070.0,30920.0,53560.0,93180.0,,,,,,,15080.0,"Umpires, Referees, and Other Sports Officials"
27-2031,Dancers,12.3,12.9,0.6,4.5,1.8,25.4,No formal educational credential,,Long-term on-the-job training,,,,,,,23.97,30.3,13.96,16.83,37.43,53.66,9060.0,Dancers
27-2032,Choreographers,4.6,4.9,0.3,6.1,0.7,24.3,High school diploma or equivalent,5 years or more,Long-term on-the-job training,55600.0,62020.0,33080.0,39600.0,71190.0,94090.0,26.73,29.82,15.91,19.04,34.23,45.24,3430.0,Choreographers
27-2041,Music directors and composers,47.3,47.2,-0.1,-0.3,4.3,25.6,Bachelor's degree,Less than 5 years,,63670.0,84230.0,34990.0,47330.0,96590.0,157010.0,30.61,40.5,16.82,22.75,46.44,75.49,12330.0,Music Directors and Composers
27-2042,Musicians and singers,169.8,171.6,1.8,1.1,19.4,46.8,No formal educational credential,,Long-term on-the-job training,,,,,,,42.45,55.13,18.68,26.02,62.83,105.44,38350.0,Musicians and Singers
27-2091,"Disc jockeys, except radio",15.4,16.0,0.6,3.8,1.5,46.9,High school diploma or equivalent,,Short-term on-the-job training,,,,,,,20.59,33.25,10.65,15.13,38.69,95.5,8170.0,"Disc Jockeys, Except Radio"
27-2099,"Entertainers and performers, sports and related workers, all other",35.8,38.0,2.1,6.0,4.4,56.2,No formal educational credential,,Short-term on-the-job training,,,,,,,20.99,29.74,13.1,16.47,33.32,51.9,15040.0,"Entertainers and Performers, Sports and Related Workers, All Other"
27-3011,Broadcast announcers and radio disc jockeys,24.1,22.8,-1.3,-5.5,2.3,,Bachelor's degree,,,45680.0,80110.0,26000.0,33280.0,72080.0,131780.0,21.96,38.52,12.5,16.0,34.65,63.36,23880.0,Broadcast Announcers and Radio Disc Jockeys
27-3023,"News analysts, reporters, and journalists",49.3,47.4,-1.9,-3.9,4.1,15.6,Bachelor's degree,,,60280.0,106030.0,34590.0,40420.0,97460.0,162430.0,28.98,50.98,16.63,19.43,46.86,78.09,41550.0,"News Analysts, Reporters, and Journalists"
27-3031,Public relations specialists,315.9,331.0,15.0,4.8,27.6,1.9,Bachelor's degree,,,69780.0,80310.0,40750.0,51970.0,95940.0,129480.0,33.55,38.61,19.59,24.99,46.13,62.25,280590.0,Public Relations Specialists
27-3041,Editors,115.8,116.5,0.7,0.6,9.8,13.2,Bachelor's degree,Less than 5 years,,75260.0,85700.0,36200.0,50210.0,101210.0,140840.0,36.18,41.2,17.4,24.14,48.66,67.71,95480.0,Editors
27-3042,Technical writers,56.4,56.9,0.5,0.9,4.5,,Bachelor's degree,Less than 5 years,Short-term on-the-job training,91670.0,92330.0,54400.0,68640.0,102740.0,130430.0,44.07,44.39,26.16,33.0,49.4,62.71,55530.0,Technical Writers
27-3043,Writers and authors,135.4,140.3,4.9,3.6,13.4,62.9,Bachelor's degree,,Long-term on-the-job training,72270.0,85780.0,41080.0,52890.0,98320.0,133680.0,34.75,41.24,19.75,25.43,47.27,64.27,47800.0,Writers and Authors
27-3091,Interpreters and translators,75.3,76.6,1.3,1.7,6.9,27.0,Bachelor's degree,,,59440.0,64950.0,35630.0,45020.0,80020.0,99830.0,28.58,31.22,17.13,21.64,38.47,47.99,53360.0,Interpreters and Translators
27-3092,Court reporters and simultaneous captioners,17.7,17.7,0.0,-0.3,1.7,25.6,Postsecondary nondegree award,,Short-term on-the-job training,67310.0,74630.0,39100.0,50210.0,92710.0,127020.0,32.36,35.88,18.8,24.14,44.57,61.07,12630.0,Court Reporters and Simultaneous Captioners
27-3099,"Media and communication workers, all other",34.3,35.3,0.9,2.7,3.0,26.7,High school diploma or equivalent,,Short-term on-the-job training,71770.0,84870.0,38530.0,52690.0,99520.0,148070.0,34.51,40.81,18.52,25.33,47.85,71.19,23590.0,"Media and Communication Workers, All Other"
27-4011,Audio and video technicians,92.3,95.4,3.1,3.3,7.3,11.0,Postsecondary nondegree award,,Short-term on-the-job training,54830.0,61370.0,35290.0,43860.0,73590.0,98190.0,26.36,29.51,16.97,21.09,35.38,47.21,70080.0,Audio and Video Technicians
27-4012,Broadcast technicians,24.8,24.2,-0.7,-2.8,1.8,12.6,Associate's degree,,Short-term on-the-job training,53920.0,64220.0,29190.0,36900.0,80390.0,115400.0,25.92,30.87,14.04,17.74,38.65,55.48,21080.0,Broadcast Technicians
27-4014,Sound engineering technicians,16.9,16.6,-0.3,-1.7,1.2,12.0,Postsecondary nondegree award,,Short-term on-the-job training,66430.0,79280.0,36600.0,47680.0,99950.0,134980.0,31.94,38.12,17.6,22.92,48.05,64.9,13050.0,Sound Engineering Technicians
27-4015,Lighting technicians,12.1,11.5,-0.6,-4.6,0.8,13.1,Postsecondary nondegree award,,Short-term on-the-job training,60560.0,70000.0,36340.0,47100.0,83340.0,117690.0,29.11,33.65,17.47,22.65,40.07,56.58,10130.0,Lighting Technicians
27-4021,Photographers,151.2,154.0,2.8,1.8,12.7,66.3,High school diploma or equivalent,,Moderate-term on-the-job training,42520.0,55650.0,29610.0,34790.0,62370.0,94760.0,20.44,26.76,14.23,16.73,29.99,45.56,51230.0,Photographers
27-4031,"Camera operators, television, video, and film",36.4,36.9,0.4,1.2,2.9,28.8,Bachelor's degree,,,68810.0,79870.0,36240.0,48060.0,102400.0,131420.0,33.08,38.4,17.42,23.1,49.23,63.18,24460.0,"Camera Operators, Television, Video, and Film"
27-4032,Film and video editors,43.5,45.2,1.7,4.0,3.6,29.3,Bachelor's degree,,,70980.0,83530.0,39170.0,50230.0,101570.0,145900.0,34.12,40.16,18.83,24.15,48.83,70.15,28860.0,Film and Video Editors
27-4099,"Media and communication equipment workers, all other",15.1,15.2,0.1,0.6,1.1,8.5,High school diploma or equivalent,,Short-term on-the-job training,67190.0,78350.0,35670.0,48490.0,102650.0,133650.0,32.3,37.67,17.15,23.31,49.35,64.26,13020.0,"Media and Communication Equipment Workers, All Other"
29-1011,Chiropractors,57.2,62.6,5.4,9.5,2.8,34.7,Doctoral or professional degree,,,79000.0,91830.0,44780.0,59320.0,104000.0,149990.0,37.98,44.15,21.53,28.52,50.0,72.11,37630.0,Chiropractors
29-1021,"Dentists, general",129.8,135.2,5.4,4.1,3.9,11.8,Doctoral or professional degree,,,172790.0,196100.0,83860.0,126090.0,220380.0,,83.07,94.28,40.32,60.62,105.95,,113490.0,"Dentists, General"
29-1022,Oral and maxillofacial surgeons,6.1,6.4,0.3,4.1,0.2,11.9,Doctoral or professional degree,,Internship/residency,,360240.0,82960.0,236780.0,,,,173.19,39.89,113.84,,,5330.0,Oral and Maxillofacial Surgeons
29-1023,Orthodontists,5.9,6.2,0.3,4.4,0.2,12.0,Doctoral or professional degree,,Internship/residency,,254620.0,98560.0,137320.0,,,,122.41,47.38,66.02,,,5150.0,Orthodontists
29-1024,Prosthodontists,0.9,0.9,0.0,4.5,0.0,12.0,Doctoral or professional degree,,Internship/residency,,258660.0,97370.0,232000.0,,,,124.36,46.81,111.54,,,760.0,Prosthodontists
29-1029,"Dentists, all other specialists",6.6,6.6,0.0,0.3,0.2,7.4,Doctoral or professional degree,,Internship/residency,225770.0,246530.0,75360.0,172780.0,,,108.54,118.52,36.23,83.07,,,5900.0,"Dentists, All Other Specialists"
29-1031,Dietitians and nutritionists,90.9,95.9,5.0,5.5,6.2,12.2,Bachelor's degree,,Internship/residency,73850.0,74770.0,48830.0,61260.0,85200.0,101760.0,35.5,35.95,23.48,29.45,40.96,48.92,76570.0,Dietitians and Nutritionists
29-1041,Optometrists,47.8,51.6,3.8,8.0,2.4,11.5,Doctoral or professional degree,,,134830.0,140940.0,70060.0,103310.0,163710.0,203210.0,64.82,67.76,33.68,49.67,78.71,97.7,41890.0,Optometrists
29-1051,Pharmacists,335.1,350.5,15.4,4.6,14.2,0.6,Doctoral or professional degree,,,137480.0,137210.0,86930.0,127250.0,158620.0,172040.0,66.1,65.97,41.8,61.18,76.26,82.71,328870.0,Pharmacists
29-1071,Physician assistants,162.7,195.8,33.2,20.4,12.0,1.5,Master's degree,,,133260.0,136900.0,95240.0,113770.0,160160.0,182200.0,64.07,65.82,45.79,54.7,77.0,87.6,155540.0,Physician Assistants
29-1081,Podiatrists,9.7,9.9,0.2,1.8,0.3,,Doctoral or professional degree,,Internship/residency,152800.0,163960.0,57500.0,91130.0,217960.0,,73.46,78.83,27.65,43.81,104.79,,9520.0,Podiatrists
29-1122,Occupational therapists,160.0,182.1,22.1,13.8,10.2,2.2,Master's degree,,,98340.0,98240.0,67090.0,80490.0,110460.0,129830.0,47.28,47.23,32.25,38.7,53.11,62.42,152280.0,Occupational Therapists
29-1123,Physical therapists,267.2,296.4,29.3,10.9,13.2,4.5,Doctoral or professional degree,,,101020.0,102400.0,74420.0,83470.0,117190.0,132500.0,48.57,49.23,35.78,40.13,56.34,63.7,248630.0,Physical Therapists
29-1124,Radiation therapists,19.2,19.6,0.4,1.9,0.9,,Associate's degree,,,101990.0,110820.0,77860.0,86520.0,120360.0,141550.0,49.03,53.28,37.43,41.6,57.87,68.05,18700.0,Radiation Therapists
29-1125,Recreational therapists,16.1,16.6,0.5,3.3,1.3,,Bachelor's degree,,,60280.0,65350.0,39520.0,48230.0,77680.0,96600.0,28.98,31.42,19.0,23.19,37.35,46.44,15060.0,Recreational Therapists
29-1126,Respiratory therapists,139.6,156.4,16.8,12.1,8.8,,Associate's degree,,,80450.0,84260.0,61900.0,68410.0,95530.0,108820.0,38.68,40.51,29.76,32.89,45.93,52.32,136420.0,Respiratory Therapists
29-1127,Speech-language pathologists,187.4,215.5,28.2,15.0,13.3,3.3,Master's degree,,Internship/residency,95410.0,95840.0,60480.0,75310.0,112510.0,132850.0,45.87,46.08,29.08,36.21,54.09,63.87,178790.0,Speech-Language Pathologists
29-1128,Exercise physiologists,23.9,26.1,2.3,9.5,1.7,64.0,Bachelor's degree,,,58160.0,59620.0,40930.0,48650.0,65430.0,79830.0,27.96,28.66,19.68,23.39,31.46,38.38,8110.0,Exercise Physiologists
