cip4,SOC2018Code,SOC2018Title,source_cip6_count
14.27,17-2199,"Engineers, All Other",1
14.27,25-1032,"Engineering Teachers, Postsecondary",1
14.28,11-9041,Architectural and Engineering Managers,1
14.28,17-2131,Materials Engineers,1
14.28,25-1032,"Engineering Teachers, Postsecondary",1
14.32,11-9041,Architectural and Engineering Managers,1
14.32,17-2041,Chemical Engineers,1
14.32,17-2131,Materials Engineers,1
14.32,25-1032,"Engineering Teachers, Postsecondary",1
14.33,11-9041,Architectural and Engineering Managers,1
14.33,13-1051,Cost Estimators,1
14.33,17-2051,Civil Engineers,1
14.33,17-2199,"Engineers, All Other",1
14.33,25-1032,"Engineering Teachers, Postsecondary",1
14.34,11-9041,Architectural and Engineering Managers,1
14.34,17-2199,"Engineers, All Other",1
14.34,25-1032,"Engineering Teachers, Postsecondary",1
14.35,11-3051,Industrial Production Managers,1
14.35,11-9041,Architectural and Engineering Managers,1
14.35,17-2112,Industrial Engineers,1
14.35,25-1032,"Engineering Teachers, Postsecondary",1
14.36,11-9041,Architectural and Engineering Managers,1
14.36,13-1051,Cost Estimators,1
14.36,17-2112,Industrial Engineers,1
14.36,17-2199,"Engineers, All Other",1
14.36,25-1032,"Engineering Teachers, Postsecondary",1
14.37,11-9121,Natural Sciences Managers,1
14.37,15-2031,Operations Research Analysts,1
14.37,25-1032,"Engineering Teachers, Postsecondary",1
14.38,11-9041,Architectural and Engineering Managers,1
14.38,17-1021,Cartographers and Photogrammetrists,1
14.38,17-1022,Surveyors,1
14.38,17-2199,"Engineers, All Other",1
14.38,25-1032,"Engineering Teachers, Postsecondary",1
14.39,11-9041,Architectural and Engineering Managers,1
14.39,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1
14.39,17-2199,"Engineers, All Other",1
14.39,25-1032,"Engineering Teachers, Postsecondary",1
14.40,11-9041,Architectural and Engineering Managers,1
14.40,17-2041,Chemical Engineers,1
14.40,17-2199,"Engineers, All Other",1
14.40,25-1032,"Engineering Teachers, Postsecondary",1
14.41,11-9041,Architectural and Engineering Managers,1
14.41,17-2071,Electrical Engineers,1
14.41,17-2141,Mechanical Engineers,1
14.41,17-2199,"Engineers, All Other",1
14.41,25-1032,"Engineering Teachers, Postsecondary",1
14.42,11-9041,Architectural and Engineering Managers,1
14.42,17-2199,"Engineers, All Other",1
14.42,25-1032,"Engineering Teachers, Postsecondary",1
14.43,11-9041,Architectural and Engineering Managers,1
14.43,17-2041,Chemical Engineers,1
14.43,17-2199,"Engineers, All Other",1
14.43,25-1032,"Engineering Teachers, Postsecondary",1
14.44,11-9041,Architectural and Engineering Managers,1
14.44,17-2041,Chemical Engineers,1
14.44,17-2199,"Engineers, All Other",1
14.44,25-1032,"Engineering Teachers, Postsecondary",1
14.45,11-9041,Architectural and Engineering Managers,1
14.45,17-2031,Bioengineers and Biomedical Engineers,1
14.45,17-2199,"Engineers, All Other",1
14.45,25-1032,"Engineering Teachers, Postsecondary",1
14.47,11-9041,Architectural and Engineering Managers,1
14.47,17-2061,Computer Hardware Engineers,1
14.47,17-2071,Electrical Engineers,1
14.47,17-2199,"Engineers, All Other",1
14.47,25-1032,"Engineering Teachers, Postsecondary",1
14.48,11-9041,Architectural and Engineering Managers,3
14.48,17-2199,"Engineers, All Other",3
14.48,25-1032,"Engineering Teachers, Postsecondary",3
14.99,11-9041,Architectural and Engineering Managers,1
14.99,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1
14.99,17-2199,"Engineers, All Other",1
14.99,25-1032,"Engineering Teachers, Postsecondary",1
15.00,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1
15.00,17-3022,Civil Engineering Technologists and Technicians,1
15.00,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1
15.00,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,2
15.00,17-3026,Industrial Engineering Technologists and Technicians,1
15.00,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.01,17-3011,Architectural and Civil Drafters,1
15.01,17-3022,Civil Engineering Technologists and Technicians,1
15.01,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.02,17-3022,Civil Engineering Technologists and Technicians,1
15.02,53-6041,Traffic Technicians,1
15.03,17-3012,Electrical and Electronics Drafters,2
15.03,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1
15.03,17-3023,Electrical and Electronic Engineering Technologists and Technicians,4
15.03,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1
15.03,17-3028,Calibration Technologists and Technicians,1
15.03,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",2
15.03,27-2091,"Disc Jockeys, Except Radio",1
15.03,27-4014,Sound Engineering Technicians,1
15.03,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1
15.04,17-3012,Electrical and Electronics Drafters,1
15.04,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1
15.04,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,6
15.04,17-3028,Calibration Technologists and Technicians,2
15.04,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.04,49-9062,Medical Equipment Repairers,1
15.04,49-9069,"Precision Instrument and Equipment Repairers, All Other",1
15.05,17-3025,Environmental Engineering Technologists and Technicians,3
15.05,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",2
15.05,19-4042,"Environmental Science and Protection Technicians, Including Health",3
15.05,47-4041,Hazardous Materials Removal Workers,1
15.05,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1
15.05,51-8031,Water and Wastewater Treatment Plant and System Operators,1
15.06,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1
15.06,17-3026,Industrial Engineering Technologists and Technicians,3
15.06,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",5
15.06,51-4121,"Welders, Cutters, Solderers, and Brazers",1
15.06,51-9141,Semiconductor Processing Technicians,1
15.07,17-3025,Environmental Engineering Technologists and Technicians,1
15.07,17-3026,Industrial Engineering Technologists and Technicians,2
15.07,19-5011,Occupational Health and Safety Specialists,2
15.07,19-5012,Occupational Health and Safety Technicians,1
15.07,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1
15.08,17-3013,Mechanical Drafters,3
15.08,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1
15.08,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1
15.08,17-3027,Mechanical Engineering Technologists and Technicians,3
15.08,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",2
15.08,49-3023,Automotive Service Technicians and Mechanics,2
15.08,49-3051,Motorboat Mechanics and Service Technicians,1
15.09,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.09,19-4043,"Geological Technicians, Except Hydrologic Technicians",3
15.09,47-5013,"Service Unit Operators, Oil and Gas",1
15.09,51-8092,Gas Plant Operators,1
15.10,11-9021,Construction Managers,1
15.10,13-1051,Cost Estimators,1
15.10,17-3022,Civil Engineering Technologists and Technicians,1
15.11,17-1021,Cartographers and Photogrammetrists,1
15.11,17-1022,Surveyors,1
15.11,17-3019,"Drafters, All Other",1
15.11,17-3027,Mechanical Engineering Technologists and Technicians,1
15.11,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.11,17-3031,Surveying and Mapping Technicians,1
15.12,15-1251,Computer Programmers,1
15.12,15-1252,Software Developers,1
15.12,15-1253,Software Quality Assurance Analysts and Testers,3
15.12,17-3023,Electrical and Electronic Engineering Technologists and Technicians,2
15.12,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",5
15.13,17-3011,Architectural and Civil Drafters,5
15.13,17-3012,Electrical and Electronics Drafters,4
15.13,17-3013,Mechanical Drafters,4
15.13,17-3019,"Drafters, All Other",4
15.14,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.14,19-4051,Nuclear Technicians,1
15.15,11-3013,Facilities Managers,1
15.15,11-3051,Industrial Production Managers,1
15.15,11-9041,Architectural and Engineering Managers,3
15.15,17-2112,Industrial Engineers,2
15.15,17-2199,"Engineers, All Other",1
15.15,17-3026,Industrial Engineering Technologists and Technicians,2
15.15,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
15.15,25-1032,"Engineering Teachers, Postsecondary",2
15.15,25-1199,"Postsecondary Teachers, All Other",1
15.15,27-1021,Commercial and Industrial Designers,1
15.16,17-2199,"Engineers, All Other",1
15.17,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",7
15.17,27-1021,Commercial and Industrial Designers,1
15.17,47-2231,Solar Photovoltaic Installers,1
15.17,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1
15.17,49-9081,Wind Turbine Service Technicians,1
15.17,51-8013,Power Plant Operators,2
16.01,19-3099,"Social Scientists and Related Workers, All Other",1
16.01,25-1123,"English Language and Literature Teachers, Postsecondary",1
16.01,25-1124,"Foreign Language and Literature Teachers, Postsecondary",4
16.01,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
16.01,27-3091,Interpreters and Translators,4
16.02,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.02,27-3091,Interpreters and Translators,1
16.03,25-1124,"Foreign Language and Literature Teachers, Postsecondary",6
16.03,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",5
16.03,27-3091,Interpreters and Translators,6
16.04,25-1124,"Foreign Language and Literature Teachers, Postsecondary",11
16.04,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
16.04,27-3091,Interpreters and Translators,11
16.05,25-1124,"Foreign Language and Literature Teachers, Postsecondary",8
16.05,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",3
16.05,27-3091,Interpreters and Translators,8
16.06,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.06,27-3091,Interpreters and Translators,1
16.07,25-1124,"Foreign Language and Literature Teachers, Postsecondary",8
16.07,27-3091,Interpreters and Translators,8
16.08,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.08,27-3091,Interpreters and Translators,1
16.09,25-1124,"Foreign Language and Literature Teachers, Postsecondary",9
16.09,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",5
16.09,27-3091,Interpreters and Translators,9
16.10,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.10,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
16.10,27-3091,Interpreters and Translators,1
16.11,25-1124,"Foreign Language and Literature Teachers, Postsecondary",5
16.11,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2
16.11,27-3091,Interpreters and Translators,5
16.12,25-1124,"Foreign Language and Literature Teachers, Postsecondary",4
16.12,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",4
16.12,27-3091,Interpreters and Translators,4
16.13,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.13,27-3091,Interpreters and Translators,1
16.14,25-1124,"Foreign Language and Literature Teachers, Postsecondary",11
16.14,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2
16.14,27-3091,Interpreters and Translators,11
16.15,25-1124,"Foreign Language and Literature Teachers, Postsecondary",5
16.15,27-3091,Interpreters and Translators,5
16.16,25-1124,"Foreign Language and Literature Teachers, Postsecondary",2
16.16,25-1199,"Postsecondary Teachers, All Other",1
16.16,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2
16.16,27-3091,Interpreters and Translators,4
16.18,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.18,27-3091,Interpreters and Translators,1
16.99,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1
16.99,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
16.99,27-3091,Interpreters and Translators,1
19.01,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",1
19.01,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
19.01,25-9021,Farm and Home Management Educators,1
19.02,11-2021,Marketing Managers,1
19.02,11-2022,Sales Managers,1
19.02,13-1161,Market Research Analysts and Marketing Specialists,1
19.02,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",3
19.02,25-9021,Farm and Home Management Educators,2
19.02,27-3031,Public Relations Specialists,1
19.02,27-3042,Technical Writers,1
19.02,27-3043,Writers and Authors,1
19.02,41-1011,First-Line Supervisors of Retail Sales Workers,1
19.04,13-2052,Personal Financial Advisors,1
19.04,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",4
19.04,25-9021,Farm and Home Management Educators,4
19.05,11-9051,Food Service Managers,1
19.05,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",4
19.05,29-1031,Dietitians and Nutritionists,4
19.05,29-2051,Dietetic Technicians,1
19.05,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1
19.05,35-2012,"Cooks, Institution and Cafeteria",1
19.06,11-3013,Facilities Managers,1
19.06,13-1121,"Meeting, Convention, and Event Planners",1
19.06,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",1
19.06,25-9021,Farm and Home Management Educators,2
19.06,27-1025,Interior Designers,2
19.07,19-3039,"Psychologists, All Other",3
19.07,19-3099,"Social Scientists and Related Workers, All Other",1
19.07,21-1093,Social and Human Service Assistants,1
19.07,21-1099,"Community and Social Service Specialists, All Other",3
19.07,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",5
19.07,25-2011,"Preschool Teachers, Except Special Education",2
19.07,25-9021,Farm and Home Management Educators,5
19.07,25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",1
19.07,25-9043,"Teaching Assistants, Special Education",1
19.07,39-9011,Childcare Workers,3
19.09,11-2021,Marketing Managers,1
19.09,13-1022,"Wholesale and Retail Buyers, Except Farm Products",1
19.09,13-1161,Market Research Analysts and Marketing Specialists,1
19.09,19-2032,Materials Scientists,1
19.09,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",3
19.09,25-9021,Farm and Home Management Educators,1
19.09,27-1022,Fashion Designers,3
19.09,27-1025,Interior Designers,1
19.09,51-6092,Fabric and Apparel Patternmakers,1
19.10,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1
19.10,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",1
22.00,23-2011,Paralegals and Legal Assistants,1
22.00,23-2099,"Legal Support Workers, All Other",1
22.01,23-1011,Lawyers,1
22.01,23-1012,Judicial Law Clerks,1
22.01,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1
22.01,23-1022,"Arbitrators, Mediators, and Conciliators",1
22.01,23-1023,"Judges, Magistrate Judges, and Magistrates",1
22.01,25-1112,"Law Teachers, Postsecondary",1
22.02,23-1011,Lawyers,25
22.02,25-1112,"Law Teachers, Postsecondary",24
22.03,23-2011,Paralegals and Legal Assistants,1
22.03,23-2093,"Title Examiners, Abstractors, and Searchers",1
22.03,23-2099,"Legal Support Workers, All Other",2
22.03,27-3091,Interpreters and Translators,1
22.03,27-3092,Court Reporters and Simultaneous Captioners,3
22.03,43-6012,Legal Secretaries and Administrative Assistants,1
23.01,25-1123,"English Language and Literature Teachers, Postsecondary",1
23.01,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
23.01,43-9081,Proofreaders and Copy Markers,1
23.13,25-1123,"English Language and Literature Teachers, Postsecondary",5
23.13,25-1199,"Postsecondary Teachers, All Other",4
23.13,27-3041,Editors,5
23.13,27-3042,Technical Writers,2
23.13,27-3043,Writers and Authors,5
23.13,43-9081,Proofreaders and Copy Markers,2
23.14,25-1123,"English Language and Literature Teachers, Postsecondary",6
23.14,27-3041,Editors,3
23.14,27-3043,Writers and Authors,3
23.99,25-1123,"English Language and Literature Teachers, Postsecondary",1
24.01,25-1199,"Postsecondary Teachers, All Other",3
25.01,11-9199,"Managers, All Other",2
25.01,25-1082,"Library Science Teachers, Postsecondary",2
25.01,25-4011,Archivists,1
25.01,25-4022,Librarians and Media Collections Specialists,3
25.03,25-4031,Library Technicians,1
26.01,11-9121,Natural Sciences Managers,1
26.01,19-1029,"Biological Scientists, All Other",1
26.01,19-1042,"Medical Scientists, Except Epidemiologists",1
26.01,19-1099,"Life Scientists, All Other",1
26.01,19-4012,Agricultural Technicians,1
26.01,19-4013,Food Science Technicians,1
26.01,19-4021,Biological Technicians,2
26.01,19-4092,Forensic Science Technicians,1
26.01,25-1042,"Biological Science Teachers, Postsecondary",2
26.01,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
26.02,11-9121,Natural Sciences Managers,10
26.02,19-1021,Biochemists and Biophysicists,6
26.02,19-1022,Microbiologists,1
26.02,19-1029,"Biological Scientists, All Other",6
26.02,19-1042,"Medical Scientists, Except Epidemiologists",4
26.02,19-4013,Food Science Technicians,1
26.02,19-4021,Biological Technicians,2
26.02,25-1042,"Biological Science Teachers, Postsecondary",10
26.03,11-9121,Natural Sciences Managers,4
26.03,19-1013,Soil and Plant Scientists,5
26.03,19-1029,"Biological Scientists, All Other",5
26.03,25-1042,"Biological Science Teachers, Postsecondary",4
26.04,11-9121,Natural Sciences Managers,4
26.04,19-1021,Biochemists and Biophysicists,1
26.04,19-1022,Microbiologists,1
26.04,19-1029,"Biological Scientists, All Other",6
26.04,19-1041,Epidemiologists,1
26.04,19-1042,"Medical Scientists, Except Epidemiologists",5
26.04,19-4021,Biological Technicians,1
26.04,25-1042,"Biological Science Teachers, Postsecondary",6
26.04,25-1071,"Health Specialties Teachers, Postsecondary",3
26.04,29-2011,Medical and Clinical Laboratory Technologists,1
26.05,11-9111,Medical and Health Services Managers,1
26.05,11-9121,Natural Sciences Managers,7
26.05,19-1022,Microbiologists,6
26.05,19-1029,"Biological Scientists, All Other",7
26.05,19-1041,Epidemiologists,1
26.05,19-1042,"Medical Scientists, Except Epidemiologists",6
26.05,19-4013,Food Science Technicians,1
26.05,19-4021,Biological Technicians,3
26.05,25-1042,"Biological Science Teachers, Postsecondary",8
26.05,25-1071,"Health Specialties Teachers, Postsecondary",1
26.07,11-9121,Natural Sciences Managers,4
26.07,19-1023,Zoologists and Wildlife Biologists,6
26.07,19-1029,"Biological Scientists, All Other",2
26.07,19-4021,Biological Technicians,3
26.07,25-1042,"Biological Science Teachers, Postsecondary",4
26.08,11-9121,Natural Sciences Managers,5
26.08,19-1029,"Biological Scientists, All Other",7
26.08,19-1042,"Medical Scientists, Except Epidemiologists",1
26.08,19-4021,Biological Technicians,1
26.08,25-1042,"Biological Science Teachers, Postsecondary",8
26.08,29-9092,Genetic Counselors,5
26.09,11-9121,Natural Sciences Managers,2
26.09,19-1021,Biochemists and Biophysicists,1
26.09,19-1029,"Biological Scientists, All Other",1
26.09,19-1042,"Medical Scientists, Except Epidemiologists",13
26.09,25-1042,"Biological Science Teachers, Postsecondary",12
26.09,25-1071,"Health Specialties Teachers, Postsecondary",2
26.09,29-1128,Exercise Physiologists,1
26.10,11-9121,Natural Sciences Managers,2
26.10,17-3025,Environmental Engineering Technologists and Technicians,1
26.10,19-1029,"Biological Scientists, All Other",2
26.10,19-1042,"Medical Scientists, Except Epidemiologists",8
26.10,19-2041,"Environmental Scientists and Specialists, Including Health",3
26.10,19-4042,"Environmental Science and Protection Technicians, Including Health",1
26.10,19-5011,Occupational Health and Safety Specialists,1
26.10,19-5012,Occupational Health and Safety Technicians,1
26.10,25-1042,"Biological Science Teachers, Postsecondary",2
26.10,25-1071,"Health Specialties Teachers, Postsecondary",8
26.11,11-9121,Natural Sciences Managers,4
26.11,15-1221,Computer and Information Research Scientists,1
26.11,15-1299,"Computer Occupations, All Other",2
26.11,15-2021,Mathematicians,1
26.11,15-2041,Statisticians,2
26.11,15-2051,Data Scientists,3
26.11,15-2099,"Mathematical Science Occupations, All Other",2
26.11,19-1029,"Biological Scientists, All Other",4
26.11,19-1042,"Medical Scientists, Except Epidemiologists",1
26.11,19-4021,Biological Technicians,3
26.11,25-1022,"Mathematical Science Teachers, Postsecondary",1
26.11,25-1042,"Biological Science Teachers, Postsecondary",3
26.11,25-1071,"Health Specialties Teachers, Postsecondary",1
26.12,11-9121,Natural Sciences Managers,1
26.12,19-1029,"Biological Scientists, All Other",1
26.12,25-1042,"Biological Science Teachers, Postsecondary",1
26.13,11-9121,Natural Sciences Managers,6
26.13,15-2041,Statisticians,1
26.13,19-1023,Zoologists and Wildlife Biologists,4
26.13,19-1029,"Biological Scientists, All Other",11
26.13,19-1031,Conservation Scientists,5
26.13,19-1041,Epidemiologists,2
26.13,19-1042,"Medical Scientists, Except Epidemiologists",1
26.13,19-1099,"Life Scientists, All Other",2
26.13,19-4021,Biological Technicians,2
26.13,25-1042,"Biological Science Teachers, Postsecondary",10
26.13,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
26.13,25-1053,"Environmental Science Teachers, Postsecondary",3
26.13,25-1071,"Health Specialties Teachers, Postsecondary",2
26.14,11-9121,Natural Sciences Managers,1
26.14,19-1042,"Medical Scientists, Except Epidemiologists",1
26.14,25-1042,"Biological Science Teachers, Postsecondary",1
26.15,11-9121,Natural Sciences Managers,5
26.15,19-1029,"Biological Scientists, All Other",5
26.15,19-1042,"Medical Scientists, Except Epidemiologists",4
26.15,19-4021,Biological Technicians,1
26.15,25-1042,"Biological Science Teachers, Postsecondary",5
26.99,11-9121,Natural Sciences Managers,1
26.99,19-1029,"Biological Scientists, All Other",1
26.99,19-1099,"Life Scientists, All Other",1
26.99,25-1042,"Biological Science Teachers, Postsecondary",1
27.01,11-9121,Natural Sciences Managers,6
27.01,15-2021,Mathematicians,6
27.01,15-2041,Statisticians,1
27.01,15-2051,Data Scientists,1
27.01,15-2099,"Mathematical Science Occupations, All Other",1
27.01,25-1022,"Mathematical Science Teachers, Postsecondary",6
27.01,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
27.03,11-9121,Natural Sciences Managers,6
27.03,13-2051,Financial and Investment Analysts,1
27.03,13-2054,Financial Risk Specialists,1
27.03,13-2099,"Financial Specialists, All Other",1
27.03,15-2011,Actuaries,2
27.03,15-2021,Mathematicians,6
27.03,15-2041,Statisticians,2
27.03,15-2051,Data Scientists,6
27.03,15-2099,"Mathematical Science Occupations, All Other",6
27.03,19-1029,"Biological Scientists, All Other",1
27.03,19-3011,Economists,1
27.03,25-1022,"Mathematical Science Teachers, Postsecondary",5
27.05,11-9121,Natural Sciences Managers,3
27.05,15-2011,Actuaries,4
27.05,15-2021,Mathematicians,2
27.05,15-2041,Statisticians,4
27.05,15-2051,Data Scientists,3
27.05,19-3022,Survey Researchers,1
27.05,25-1022,"Mathematical Science Teachers, Postsecondary",4
27.06,11-9121,Natural Sciences Managers,1
27.06,13-1111,Management Analysts,1
27.06,15-2011,Actuaries,1
27.06,15-2041,Statisticians,1
27.06,15-2051,Data Scientists,1
27.06,19-3022,Survey Researchers,1
27.06,25-1022,"Mathematical Science Teachers, Postsecondary",1
27.99,11-9121,Natural Sciences Managers,1
27.99,15-2021,Mathematicians,1
27.99,15-2051,Data Scientists,1
27.99,15-2099,"Mathematical Science Occupations, All Other",1
27.99,25-1022,"Mathematical Science Teachers, Postsecondary",1
28.05,55-1017,Special Forces Officers,1
28.05,55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",4
28.05,55-3018,Special Forces,1
28.05,55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",1
28.06,55-1014,Artillery and Missile Officers,1
28.06,55-1016,Infantry Officers,1
28.06,55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",3
28.06,55-3014,Artillery and Missile Crew Members,1
29.02,17-1021,Cartographers and Photogrammetrists,1
29.02,33-1012,First-Line Supervisors of Police and Detectives,1
29.02,33-3021,Detectives and Criminal Investigators,1
29.02,55-1015,Command and Control Center Officers,5
29.02,55-1017,Special Forces Officers,3
29.02,55-3015,Command and Control Center Specialists,5
29.02,55-3018,Special Forces,3
29.03,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",3
29.03,55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",1
29.04,17-3021,Aerospace Engineering and Operations Technologists and Technicians,2
29.04,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",1
29.04,55-1014,Artillery and Missile Officers,1
29.04,55-1015,Command and Control Center Officers,2
29.04,55-1017,Special Forces Officers,1
29.04,55-3012,Aircraft Launch and Recovery Specialists,1
29.04,55-3014,Artillery and Missile Crew Members,2
29.04,55-3015,Command and Control Center Specialists,2
29.04,55-3018,Special Forces,1
30.01,11-9121,Natural Sciences Managers,1
30.01,25-1199,"Postsecondary Teachers, All Other",1
30.01,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
30.05,19-3099,"Social Scientists and Related Workers, All Other",1
30.05,23-1022,"Arbitrators, Mediators, and Conciliators",1
30.05,25-1199,"Postsecondary Teachers, All Other",1
30.06,11-9199,"Managers, All Other",1
30.06,25-1199,"Postsecondary Teachers, All Other",1
30.08,11-3021,Computer and Information Systems Managers,1
30.08,11-9121,Natural Sciences Managers,1
30.08,15-1252,Software Developers,1
30.08,15-1299,"Computer Occupations, All Other",1
30.08,15-2021,Mathematicians,1
30.08,15-2051,Data Scientists,1
30.08,15-2099,"Mathematical Science Occupations, All Other",1
30.08,25-1021,"Computer Science Teachers, Postsecondary",1
30.08,25-1022,"Mathematical Science Teachers, Postsecondary",1
30.10,11-9121,Natural Sciences Managers,1
30.10,19-1042,"Medical Scientists, Except Epidemiologists",1
30.10,19-3099,"Social Scientists and Related Workers, All Other",1
30.10,25-1042,"Biological Science Teachers, Postsecondary",1
30.10,25-1066,"Psychology Teachers, Postsecondary",1
30.11,19-1042,"Medical Scientists, Except Epidemiologists",1
30.11,19-3099,"Social Scientists and Related Workers, All Other",1
30.11,25-1071,"Health Specialties Teachers, Postsecondary",1
30.11,25-1113,"Social Work Teachers, Postsecondary",1
30.12,11-3013,Facilities Managers,2
30.12,11-9199,"Managers, All Other",1
30.12,19-3093,Historians,3
30.12,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1
30.12,25-1199,"Postsecondary Teachers, All Other",2
30.12,25-4011,Archivists,3
30.13,19-3093,Historians,1
30.13,25-1125,"History Teachers, Postsecondary",1
30.14,25-1199,"Postsecondary Teachers, All Other",1
30.14,25-4011,Archivists,1
30.14,25-4012,Curators,1
30.14,25-4013,Museum Technicians and Conservators,1
30.15,11-9121,Natural Sciences Managers,1
30.15,25-1199,"Postsecondary Teachers, All Other",1
30.16,11-3021,Computer and Information Systems Managers,1
30.16,11-3031,Financial Managers,1
30.16,13-2011,Accountants and Auditors,1
30.16,15-1252,Software Developers,1
30.16,15-1299,"Computer Occupations, All Other",1
30.16,25-1011,"Business Teachers, Postsecondary",1
30.16,25-1021,"Computer Science Teachers, Postsecondary",1
30.17,11-9151,Social and Community Service Managers,1
30.17,19-1099,"Life Scientists, All Other",1
30.17,19-3039,"Psychologists, All Other",1
30.17,19-3099,"Social Scientists and Related Workers, All Other",1
30.17,19-4061,Social Science Research Assistants,1
30.17,21-1099,"Community and Social Service Specialists, All Other",1
30.17,25-1066,"Psychology Teachers, Postsecondary",1
30.18,11-9121,Natural Sciences Managers,1
30.18,19-1099,"Life Scientists, All Other",1
30.18,19-2099,"Physical Scientists, All Other",1
30.18,25-1199,"Postsecondary Teachers, All Other",1
30.19,11-9121,Natural Sciences Managers,1
30.19,19-1029,"Biological Scientists, All Other",1
30.19,19-1099,"Life Scientists, All Other",1
30.19,25-1042,"Biological Science Teachers, Postsecondary",1
30.19,25-1071,"Health Specialties Teachers, Postsecondary",1
30.19,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",1
30.19,25-9021,Farm and Home Management Educators,1
30.19,29-1031,Dietitians and Nutritionists,1
30.19,29-2051,Dietetic Technicians,1
30.20,19-3094,Political Scientists,1
30.20,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1
